Tue Jun  1 12:16:27 2021
First batch shape: (The shape of batches are not same)
torch.Size([13, 8, 512]) 12
epo0 <tr>-<gen>: l_dis=1.47-1.47, l_cla=6.22-6.22, l_rec=66.57-90.42, l1=0.00, cer=146.42-122.24-121.92, time=56.7
EVAL: l_dis=0.690, l_cla=6.210, l_rec=84.238, cer=95.58-94.81, time=40.7
epo1 <tr>-<gen>: l_dis=1.36-0.73, l_cla=6.21-6.21, l_rec=56.98-81.59, l1=0.00, cer=92.61-94.78-95.76, time=58.7
epo2 <tr>-<gen>: l_dis=1.40-0.66, l_cla=6.18-6.17, l_rec=51.56-76.46, l1=0.00, cer=88.19-93.33-93.00, time=56.9
epo3 <tr>-<gen>: l_dis=1.37-0.81, l_cla=6.08-6.05, l_rec=49.25-75.19, l1=0.00, cer=80.63-87.24-86.67, time=54.9
epo4 <tr>-<gen>: l_dis=1.35-0.85, l_cla=5.98-5.96, l_rec=50.00-73.80, l1=0.00, cer=85.01-91.29-89.80, time=41.6
epo5 <tr>-<gen>: l_dis=1.39-0.67, l_cla=5.94-5.93, l_rec=46.66-75.99, l1=0.00, cer=85.92-91.76-91.89, time=35.9
epo6 <tr>-<gen>: l_dis=1.38-0.69, l_cla=5.91-5.90, l_rec=46.64-74.19, l1=0.00, cer=83.91-89.13-89.25, time=35.4
epo7 <tr>-<gen>: l_dis=1.30-0.88, l_cla=5.91-5.90, l_rec=48.03-72.37, l1=0.00, cer=81.94-86.20-87.13, time=35.0
epo8 <tr>-<gen>: l_dis=1.26-0.88, l_cla=5.90-5.89, l_rec=46.95-73.15, l1=0.00, cer=82.69-86.30-88.02, time=35.0
epo9 <tr>-<gen>: l_dis=1.35-1.32, l_cla=5.89-5.89, l_rec=45.58-72.73, l1=0.00, cer=80.52-85.57-86.34, time=35.0
epo10 <tr>-<gen>: l_dis=1.40-0.93, l_cla=5.88-5.87, l_rec=47.19-70.70, l1=0.00, cer=81.32-84.62-84.95, time=34.9
epo11 <tr>-<gen>: l_dis=1.33-0.80, l_cla=5.88-5.87, l_rec=45.09-70.37, l1=0.00, cer=81.28-82.61-83.22, time=35.1
epo12 <tr>-<gen>: l_dis=1.33-0.84, l_cla=5.87-5.87, l_rec=45.39-69.57, l1=0.00, cer=79.47-84.25-83.52, time=34.8
epo13 <tr>-<gen>: l_dis=1.30-1.02, l_cla=5.87-5.86, l_rec=43.12-69.88, l1=0.00, cer=79.60-83.54-84.05, time=35.1
epo14 <tr>-<gen>: l_dis=1.44-0.64, l_cla=5.87-5.88, l_rec=44.02-68.95, l1=0.00, cer=77.07-83.84-83.73, time=35.0
epo15 <tr>-<gen>: l_dis=1.53-1.25, l_cla=5.86-5.87, l_rec=44.28-69.28, l1=0.00, cer=75.65-83.24-82.93, time=34.8
epo16 <tr>-<gen>: l_dis=1.10-1.16, l_cla=5.86-5.86, l_rec=43.36-68.60, l1=0.00, cer=76.45-81.89-84.17, time=34.6
epo17 <tr>-<gen>: l_dis=1.47-0.97, l_cla=5.86-5.86, l_rec=45.72-68.92, l1=0.00, cer=77.91-80.06-81.88, time=34.8
epo18 <tr>-<gen>: l_dis=1.33-1.02, l_cla=5.86-5.88, l_rec=41.49-66.84, l1=0.00, cer=72.23-79.97-80.53, time=35.0
epo19 <tr>-<gen>: l_dis=1.28-1.44, l_cla=5.85-5.88, l_rec=40.91-67.27, l1=0.00, cer=73.90-81.25-81.21, time=34.9
epo20 <tr>-<gen>: l_dis=1.17-0.63, l_cla=5.83-5.86, l_rec=41.31-66.95, l1=0.00, cer=72.00-78.52-80.95, time=34.7
EVAL: l_dis=1.621, l_cla=5.844, l_rec=64.658, cer=79.14-79.68, time=23.7
epo21 <tr>-<gen>: l_dis=1.60-2.48, l_cla=5.79-6.07, l_rec=42.44-66.27, l1=0.00, cer=74.09-80.37-80.66, time=34.0
epo22 <tr>-<gen>: l_dis=1.35-0.72, l_cla=5.77-5.87, l_rec=43.61-64.93, l1=0.00, cer=73.56-78.71-79.03, time=34.8
epo23 <tr>-<gen>: l_dis=1.31-0.81, l_cla=5.74-5.87, l_rec=41.93-65.05, l1=0.00, cer=74.45-79.52-78.45, time=35.0
epo24 <tr>-<gen>: l_dis=1.24-0.98, l_cla=5.71-5.91, l_rec=40.36-65.33, l1=0.00, cer=71.08-79.92-78.74, time=35.1
epo25 <tr>-<gen>: l_dis=1.21-1.05, l_cla=5.67-5.92, l_rec=41.80-65.67, l1=0.00, cer=72.54-79.65-79.90, time=34.8
epo26 <tr>-<gen>: l_dis=1.36-0.80, l_cla=5.63-5.90, l_rec=42.30-65.24, l1=0.00, cer=72.91-77.69-78.29, time=35.2
epo27 <tr>-<gen>: l_dis=1.19-0.96, l_cla=5.60-5.91, l_rec=40.14-64.88, l1=0.00, cer=71.79-78.87-77.62, time=34.7
epo28 <tr>-<gen>: l_dis=1.39-1.17, l_cla=5.61-6.21, l_rec=39.76-64.55, l1=0.00, cer=71.55-79.35-78.08, time=34.8
